country_code,year,life_ladder,central_government_debt,goods_exports,service_exports,goods_imports,service_imports,gdp_per_capita,gdp_growth,unemployment_total_percent,itc_service_exports,consumer_prices_inflation,gdp,population
CHE,2022,6.8838444,14.400195,472404932092,148018581924,354491688163,157559807743,92101.47,2.0592325,,1.4753158e+10,2.835028,8.0770603e+11,8769741
CHE,2021,7.3276725,13.747357,438815658464,139020077311,322197974334,158851926909,91991.6,4.2217164,5.1,1.4112014e+10,0.58181417,8.0064014e+11,8703405
CHE,2020,7.5084352,13.892945,353460786858,120515705419,289978883690,140052185584,85656.32,-2.3755634,4.82,1.3078521e+10,-0.72587496,7.399136e+11,8638167
CHE,2018,7.508587,12.819255,345951379879,139231529922,273434857378,140761842537,85216.64,2.8604457,4.71,1.4389859e+10,0.93633544,7.2556256e+11,8514329
CHE,2019,7.694221,12.270321,342872327866,135632483251,271484289833,141919461865,84121.93,1.1419823,4.39,1.2907381e+10,0.3628862,7.213691e+11,8575280
CHE,2014,7.4928036,15.400901,337823160247,130554149963,272905917120,126653070330,88724.99,2.3498812,4.83,1.5555257e+10,-0.013202539,7.265378e+11,8188649
CHE,2017,7.473593,14.179704,328689246956,128585883789,264234640460,135236701410,82254.375,1.3627995,4.8,1.489774e+10,0.53378785,6.9520084e+11,8451840
CHE,2016,7.45852,13.710523,326948311711,126661453681,265226378328,125904132830,82153.08,2.0686896,4.92,1.5301989e+10,-0.43461865,6.878955e+11,8373338
CHE,2015,7.572137,14.70534,312070394627,124568818784,248541461384,122015192549,83806.445,1.6446277,4.8,1.5159223e+10,-1.1439086,6.941182e+11,8282396
FIN,2022,7.728998,60.21884,91892884902,33895301069,93315271046,40295274967,50536.625,2.0837753,,1.2321518e+10,7.1235075,2.8082595e+11,5556880
FIN,2021,7.794378,59.171806,82912145159,34042559661,80204017861,36531773348,53489.754,3.0464823,7.61,1.4902301e+10,2.1945744,2.9638764e+11,5541017
FIN,2014,7.384571,54.72578,74459455559,25772643422,72615099350,30808310523,50327.242,-0.36490816,8.66,8.662309e+09,1.0411962,2.7486283e+11,5461512
FIN,2018,7.858107,53.045036,74302405231,31707385915,73970902320,35473613083,49987.625,1.139718,7.36,8.59271e+09,1.0838209,2.75708e+11,5515525
FIN,2019,7.780348,52.478966,72690213780,34393886572,70111465466,36552292293,48629.86,1.224749,6.69,1.1623859e+10,1.024094,2.6851492e+11,5521606
FIN,2020,7.88935,60.535713,67416386738,30002022643,64189982830,32848613942,49169.72,-2.3549652,7.76,1.2997374e+10,0.29055455,2.7188607e+11,5529543
FIN,2017,7.788252,55.10802,67198318454,28879562904,65509639633,30443575828,46412.137,3.1924095,8.64,8.0764667e+09,0.754015,2.5564797e+11,5508214
FIN,2015,7.4479256,57.04331,58806695990,24217417809,56697785382,27666618009,42801.906,0.5436592,9.38,8.3805425e+09,-0.20792884,2.3453439e+11,5479531
FIN,2016,7.6598434,56.696,58351635009,25429132016,58302942652,28536079481,43814.027,2.8114579,8.82,7.961005e+09,0.3566845,2.4077135e+11,5495303
SWE,2022,7.4312143,37.032425,215929274422,94563531306,198197462565,98104132317,55873.223,2.6422167,,2.0634038e+10,8.369291,5.8593916e+11,10486941
SWE,2021,7.43928,39.000774,208834759041,88722911706,183903380178,84522828713,61143.223,5.3858404,8.72,2.2310509e+10,2.1631973,6.3685624e+11,10415811
SWE,2018,7.374792,40.020515,180750217560,73503011562,169594370594,71931735600,54589.06,1.9500228,6.36,1.4417481e+10,1.9535353,5.5545535e+11,10175214
SWE,2014,7.2391477,45.745644,180035206909,75630851681,163102838689,69397700885,60020.36,2.6577983,7.95,1.6630062e+10,-0.17963849,5.81964e+11,9696110
SWE,2019,7.3980927,36.512676,179438395690,77794842843,158728270396,74920144441,51939.43,1.9861959,6.83,1.5994913e+10,1.784151,5.3387952e+11,10278887
SWE,2020,7.314341,42.104477,170934620194,71005041959,149271460690,67893672272,52837.902,-2.1702132,8.29,1.5550473e+10,0.49736732,5.470542e+11,10353442
SWE,2017,7.2868047,41.3349,165542840224,71868045390,154381170022,68404930556,53791.508,2.5679245,6.72,1.4503873e+10,1.794499,5.4101875e+11,10057698
SWE,2015,7.2889223,44.45817,151203884113,71218273722,139714140055,61449812442,51545.484,4.4892817,7.43,1.5804064e+10,-0.046784744,5.0510378e+11,9799186
SWE,2016,7.3687444,42.860424,150298788451,70108699050,141826882201,62473745983,51965.156,2.070593,6.99,1.4051447e+10,0.98426926,5.1565468e+11,9923085
